flower_name	flower_id
满天星花	flower_1588
郁金香	flower_1651
大丽花	flower_367
金线莲	flower_1785
百合	flower_1656
桂花	flower_760
兰花	flower_622
菠萝蜜	flower_257
石榴	flower_880
荷花	flower_1590
罂粟花	flower_1559
当归	flower_2336
摇钱树	flower_126
黄芪	flower_1206
藏红花	flower_1439
益母草	flower_1395
木槿花	flower_716
西南忍冬	flower_1707
枸杞	flower_868
蒲公英	flower_372
